Date,Mkt-RF,SMB,HML,RF
1/4/2016,-1.59,-0.83,0.53,0
1/5/2016,0.12,-0.21,0,0
1/6/2016,-1.35,-0.13,0.01,0
1/7/2016,-2.44,-0.28,0.12,0
1/8/2016,-1.11,-0.47,-0.04,0
1/11/2016,-0.06,-0.65,0.35,0
1/12/2016,0.71,-0.39,-0.79,0
1/13/2016,-2.67,-0.71,0.82,0
1/14/2016,1.65,-0.01,-0.42,0
1/15/2016,-2.14,0.42,-0.18,0
1/19/2016,-0.2,-1.34,-0.04,0
1/20/2016,-0.94,1.85,-1.21,0
1/21/2016,0.45,-0.48,0.01,0
1/22/2016,2.08,0.21,-0.22,0
1/25/2016,-1.71,-0.37,-0.96,0
1/26/2016,1.52,0.37,1.23,0
1/27/2016,-1.11,-0.56,1.72,0
1/28/2016,0.49,-0.47,1.27,0
1/29/2016,2.57,0.46,0.39,0
2/1/2016,-0.04,-0.2,-0.96,0.001
2/2/2016,-2,-0.02,-0.34,0.001
2/3/2016,0.46,-0.32,0.45,0.001
2/4/2016,0.27,0.2,0.3,0.001
2/5/2016,-2.06,-1.09,1.78,0.001
2/8/2016,-1.51,-0.02,0.95,0.001
2/9/2016,-0.1,-0.48,-0.28,0.001
2/10/2016,0.01,-0.05,-0.58,0.001
2/11/2016,-1.17,0.51,-1.5,0.001
2/12/2016,1.98,-0.53,1.13,0.001
2/16/2016,1.78,0.55,-0.57,0.001
2/17/2016,1.75,-0.05,-0.65,0.001
2/18/2016,-0.51,-0.01,0.2,0.001
2/19/2016,0.06,0.43,-0.63,0.001
2/22/2016,1.43,-0.26,0.23,0.001
2/23/2016,-1.22,0.48,-0.5,0.001
2/24/2016,0.53,0.68,-0.3,0.001
2/25/2016,1.1,-0.43,0.23,0.001
2/26/2016,-0.01,0.81,0.26,0.001
2/29/2016,-0.69,0.66,0.26,0.001
3/1/2016,2.34,-0.64,0.28,0.001
3/2/2016,0.54,0.51,0.72,0.001
3/3/2016,0.51,0.43,0.64,0.001
3/4/2016,0.37,0.27,0.3,0.001
3/7/2016,0.21,1.21,0.52,0.001
3/8/2016,-1.27,-1.14,-0.47,0.001
3/9/2016,0.5,0.04,0.37,0.001
3/10/2016,-0.11,-0.82,0.64,0.001
3/11/2016,1.69,0.28,0.17,0.001
3/14/2016,-0.12,-0.07,-0.88,0.001
3/15/2016,-0.36,-1.43,0.67,0.001
3/16/2016,0.63,0.1,-0.05,0.001
3/17/2016,0.72,0.84,0.57,0.001
3/18/2016,0.54,0.34,-0.17,0.001
3/21/2016,0.1,-0.21,-0.31,0.001
3/22/2016,-0.05,-0.01,-0.45,0.001
3/23/2016,-0.86,-1.17,-0.08,0.001
3/24/2016,0,0.46,-0.06,0.001
3/28/2016,0.04,-0.02,0.14,0.001
3/29/2016,1.07,1.76,-1.19,0.001
3/30/2016,0.41,-0.29,0.14,0.001
3/31/2016,-0.11,0.44,-0.48,0.001
4/1/2016,0.64,-0.26,-0.61,0
4/4/2016,-0.41,-0.25,-0.77,0
4/5/2016,-0.94,-0.07,-0.36,0
4/6/2016,1.14,0.17,-0.82,0
4/7/2016,-1.23,-0.05,-0.34,0
4/8/2016,0.29,0.02,0.67,0
4/11/2016,-0.28,-0.1,0.94,0
4/12/2016,0.99,-0.06,0.84,0
4/13/2016,1.23,0.85,0.35,0
4/14/2016,0.03,-0.27,0.19,0
4/15/2016,-0.04,0.32,-0.32,0
4/18/2016,0.65,0.1,-0.19,0
4/19/2016,0.29,-0.36,1.48,0
4/20/2016,0.15,-0.09,0.52,0
4/21/2016,-0.48,0.1,-0.59,0
4/22/2016,0.12,0.81,0.49,0
4/25/2016,-0.24,-0.57,-0.19,0
4/26/2016,0.29,0.66,0.77,0
4/27/2016,0.21,0.09,0.7,0
4/28/2016,-0.96,-0.15,0.06,0
4/29/2016,-0.5,-0.15,0.42,0
5/2/2016,0.78,-0.01,-0.37,0.001
5/3/2016,-1.05,-0.65,-0.48,0.001
5/4/2016,-0.66,-0.16,0.07,0.001
5/5/2016,-0.08,-0.49,0.08,0.001
5/6/2016,0.38,0.04,0.25,0.001
5/9/2016,0.04,0.37,-1.49,0.001
5/10/2016,1.26,-0.4,0.48,0.001
5/11/2016,-0.89,-0.36,0.8,0.001
5/12/2016,-0.11,-0.6,0.13,0.001
5/13/2016,-0.82,0.38,-0.67,0.001
5/16/2016,0.99,0.27,-0.26,0.001
5/17/2016,-0.95,-0.78,0.61,0.001
5/18/2016,0.1,0.1,0.84,0.001
5/19/2016,-0.33,-0.32,-0.27,0.001
5/20/2016,0.75,0.9,-0.3,0.001
5/23/2016,-0.19,0.26,-0.32,0.001
5/24/2016,1.43,0.68,-0.33,0.001
5/25/2016,0.72,-0.21,0.57,0.001
5/26/2016,-0.04,-0.09,-0.51,0.001
5/27/2016,0.49,0.33,-0.22,0.001
5/31/2016,-0.01,0.51,-0.37,0.001
6/1/2016,0.2,0.64,-0.22,0.001
6/2/2016,0.35,0.32,-0.59,0.001
6/3/2016,-0.38,-0.14,-0.09,0.001
6/6/2016,0.6,0.67,0.32,0.001
6/7/2016,0.12,0.2,0.1,0.001
6/8/2016,0.37,0.44,-0.11,0.001
6/9/2016,-0.27,-0.41,-0.2,0.001
6/10/2016,-1.05,-0.35,-0.18,0.001
6/13/2016,-0.83,-0.36,0.1,0.001
6/14/2016,-0.19,0.27,-0.69,0.001
6/15/2016,-0.11,0.25,-0.07,0.001
6/16/2016,0.24,-0.35,-0.4,0.001
